Username_API_search,Username,Name,Description_wiki,Brand_account_wiki,Country_wiki
BarackObama,@BarackObama,Barack Obama,44th President of the United States,, United States
ElonMusk,@ElonMusk,Elon Musk,"Business magnate, investor, and owner of Twitter",, United States
justinbieber,@justinbieber,Justin Bieber,Musician,, Canada
katyperry,@katyperry,Katy Perry,Musician,, United States
rihanna,@rihanna,Rihanna,Musician,, Barbados
Cristiano,@Cristiano,Cristiano Ronaldo,Football player,, Portugal
taylorswift13,@taylorswift13,Taylor Swift,Musician,, United States
narendramodi,@narendramodi,Narendra Modi,Prime Minister of India,, India
realDonaldTrump,@realDonaldTrump,Donald Trump,45th President of the United States,, United States
ladygaga,@ladygaga,Lady Gaga,Musician and actress,, United States
YouTube,@YouTube,YouTube,Online video sharing platform,Yes, United States
EllenDeGeneres,@EllenDeGeneres,Ellen DeGeneres,Comedian and television host,, United States
KimKardashian,@KimKardashian,Kim Kardashian,Television personality and businesswoman,, United States
NASA,@NASA,NASA,Space agency,Yes, United States
selenagomez,@selenagomez,Selena Gomez,Musician and actress,, United States
Twitter,@Twitter,Twitter,Operator of platform,Yes, United States
cnnbrk,@cnnbrk,CNN Breaking News,News channel,Yes, United States
jtimberlake,@jtimberlake,Justin Timberlake,Musician and actor,, United States
BillGates,@BillGates,Bill Gates,Businessman and philanthropist,, United States
neymarjr,@neymarjr,Neymar,Football player,, Brazil
CNN,@CNN,CNN,News channel,Yes, United States
britneyspears,@britneyspears,Britney Spears,Musician,, United States
nytimes,@nytimes,The New York Times,Newspaper,Yes, United States
imVkohli,@imVkohli,Virat Kohli,Cricket player,, India
shakira,@shakira,Shakira,Musician,, Colombia
ddlovato,@ddlovato,Demi Lovato,Musician and actress,, United States
KingJames,@KingJames,LeBron James,Basketball player,, United States
PMOIndia,@PMOIndia,PMO India,Office of the Prime Minister of India,Yes, India
BBCBreaking,@BBCBreaking,BBC Breaking News,News channel,Yes, United Kingdom
jimmyfallon,@jimmyfallon,Jimmy Fallon,Comedian and television host,, United States
SrBachchan,@SrBachchan,Amitabh Bachchan,Actor,, India
BTS_twt,@BTS_twt,BTS,Musicians,, South Korea
ChampionsLeague,@ChampionsLeague,UEFA Champions League,Football league,Yes, Europe
realmadrid,@realmadrid,Real Madrid CF,Football club,Yes, Spain
MileyCyrus,@MileyCyrus,Miley Cyrus,Musician and actress,, United States
FCBarcelona,@FCBarcelona,FC Barcelona,Football club,Yes, Spain
akshaykumar,@akshaykumar,Akshay Kumar,Actor,, India
JLo,@JLo,Jennifer Lopez,Musician and actress,, United States
espn,@espn,ESPN,Sports channel,Yes, United States
BeingSalmanKhan,@BeingSalmanKhan,Salman Khan,Actor,, India
iamsrk,@iamsrk,Shah Rukh Khan,Actor,, India
BrunoMars,@BrunoMars,Bruno Mars,Musician,, United States
Oprah,@Oprah,Oprah Winfrey,Television personality,, United States
bts_bighit,@bts_bighit,BTS,Musicians,, South Korea
NBA,@NBA,NBA,Basketball league,Yes, United States
SportsCenter,@SportsCenter,SportsCenter,Sports channel,Yes, United States
NiallOfficial,@NiallOfficial,Niall Horan,Musician,, Ireland
KylieJenner,@KylieJenner,Kylie Jenner,Television personality and businesswoman,, United States
Drake,@Drake,Drake,Rapper,, Canada
premierleague,@premierleague,Premier League,Football league,Yes, England
BBCWorld,,,,,
sachin_rt,,,,,
Harry_Styles,,,,,
KevinHart4real,,,,,
JoeBiden,,,,,
wizkhalifa,,,,,
Louis_Tomlinson,,,,,
ManUtd,,,,,
LilTunechi,,,,,
LiamPayne,,,,,
instagram,,,,,
NFL,,,,,
AmitShah,,,,,
KendallJenner,,,,,
iHrithik,,,,,
chrisbrown,,,,,
HillaryClinton,,,,,
Pink,,,,,
onedirection,,,,,
zaynmalik,,,,,
khloekardashian,,,,,
POTUS,,,,,
aliciakeys,,,,,
PlayStation,,,,,
KAKA,,,,,
iamcardib,,,,,
Google,,,,,
NatGeo,,,,,
SpaceX,,,,,
ConanOBrien,,,,,
EmmaWatson,,,,,
priyankachopra,,,,,
NICKIMINAJ,,,,,
Adele,,,,,
TheEconomist,,,,,
deepikapadukone,,,,,
ArvindKejriwal,,,,,
BIGHIT_MUSIC,,,,,
kourtneykardash,,,,,
whindersson,,,,,
aamir_khan,,,,,
ShawnMendes,,,,,
M10,,,,,
NetflixBrasil,,,,,
Reuters,,,,,
andresiniesta8,,,,,
ActuallyNPH,,,,,
